AOU,English_Common_Name,French_Common_Name,Spanish_Common_Name,ORDER,Family,Genus,Species,X,X.1,WT_species_code
800,Black Skimmer,Bec-en-ciseaux noir,Rynchops niger,Charadriiformes,Laridae,Rynchops,niger,,,BLSK
4220,Black Swift,Martinet sombre,Cypseloides niger,Apodiformes,Apodidae,Cypseloides,niger,,,BLSW
770,Black Tern,Guifette noire,Chlidonias niger,Charadriiformes,Laridae,Chlidonias,niger,,,BLTE
3260,Black Vulture,Urubu noir,Coragyps atratus,Cathartiformes,Cathartidae,Coragyps,atratus,,,BLVU
6360,Black-and-white Warbler,Paruline noir et blanc,Mniotilta varia,Passeriformes,Parulidae,Mniotilta,varia,,,BAWW
4000,Black-backed Woodpecker,Pic à dos noir,Picoides arcticus,Piciformes,Picidae,Picoides,arcticus,,,BBWO
2700,Black-bellied Plover,Pluvier argenté,Pluvialis squatarola,Charadriiformes,Charadriidae,Pluvialis,squatarola,,,BBPL
3880,Black-billed Cuckoo,Coulicou à bec noir,Coccyzus erythropthalmus,Cuculiformes,Cuculidae,Coccyzus,erythropthalmus,,,BBCU
4750,Black-billed Magpie,Pie d'Amérique,Pica hudsonia,Passeriformes,Corvidae,Pica,hudsonia,,,BBMA
6620,Blackburnian Warbler,Paruline à gorge orangée,Setophaga fusca,Passeriformes,Parulidae,Setophaga,fusca,,,BLBW
7350,Black-capped Chickadee,Mésange à tête noire,Poecile atricapillus,Passeriformes,Paridae,Poecile,atricapillus,,,BCCH
4290,Black-chinned Hummingbird,Colibri à gorge noire,Archilochus alexandri,Apodiformes,Trochilidae,Archilochus,alexandri,,,BCHU
2020,Black-crowned Night-Heron,Bihoreau gris,Nycticorax nycticorax,Pelecaniformes,Ardeidae,Nycticorax,nycticorax,,,BCNH
5960,Black-headed Grosbeak,Cardinal à tête noire,Pheucticus melanocephalus,Passeriformes,Cardinalidae,Pheucticus,melanocephalus,,,BHGR
551,Black-headed Gull,Mouette rieuse,Chroicocephalus ridibundus,Charadriiformes,Laridae,Chroicocephalus,ridibundus,,,BHGU
400,Black-legged Kittiwake,Mouette tridactyle,Rissa tridactyla,Charadriiformes,Laridae,Rissa,tridactyla,,,BLKI
2260,Black-necked Stilt,Échasse d'Amérique,Himantopus mexicanus,Charadriiformes,Recurvirostridae,Himantopus,mexicanus,,,BNST
6610,Blackpoll Warbler,Paruline rayée,Setophaga striata,Passeriformes,Parulidae,Setophaga,striata,,,BLPW
6540,Black-throated Blue Warbler,Paruline bleue,Setophaga caerulescens,Passeriformes,Parulidae,Setophaga,caerulescens,,,BTBW
6650,Black-throated Gray Warbler,Paruline grise,Setophaga nigrescens,Passeriformes,Parulidae,Setophaga,nigrescens,,,BTYW
6670,Black-throated Green Warbler,Paruline à gorge noire,Setophaga virens,Passeriformes,Parulidae,Setophaga,virens,,,BTNW
5730,Black-throated Sparrow,Bruant à gorge noire,Amphispiza bilineata,Passeriformes,Passerellidae,Amphispiza,bilineata,,,BTSP
5970,Blue Grosbeak,Guiraca bleu,Passerina caerulea,Passeriformes,Cardinalidae,Passerina,caerulea,,,BLGR
4770,Blue Jay,Geai bleu,Cyanocitta cristata,Passeriformes,Corvidae,Cyanocitta,cristata,,,BLJA
7510,Blue-gray Gnatcatcher,Gobemoucheron gris-bleu,Polioptila caerulea,Passeriformes,Polioptilidae,Polioptila,caerulea,,,BGGN
6290,Blue-headed Vireo,Viréo à tête bleue,Vireo solitarius,Passeriformes,Vireonidae,Vireo,solitarius,,,BHVI
7640,Bluethroat,Gorgebleue à miroir,Cyanecula svecica,Passeriformes,Muscicapidae,Cyanecula,svecica,,,BLUE
1400,Blue-winged Teal,Sarcelle à ailes bleues,Spatula discors,Anseriformes,Anatidae,Spatula,discors,,,BWTE
6410,Blue-winged Warbler,Paruline à ailes bleues,Vermivora cyanoptera,Passeriformes,Parulidae,Vermivora,cyanoptera,,,BWWA
5130,Boat-tailed Grackle,Quiscale des marais,Quiscalus major,Passeriformes,Icteridae,Quiscalus,major,,,BTGR
4940,Bobolink,Goglu des prés,Dolichonyx oryzivorus,Passeriformes,Icteridae,Dolichonyx,oryzivorus,,,BOBO
6180,Bohemian Waxwing,Jaseur boréal,Bombycilla garrulus,Passeriformes,Bombycillidae,Bombycilla,garrulus,,,BOWA
600,Bonaparte's Gull,Mouette de Bonaparte,Chroicocephalus philadelphia,Charadriiformes,Laridae,Chroicocephalus,philadelphia,,,BOGU
7400,Boreal Chickadee,Mésange à tête brune,Poecile hudsonicus,Passeriformes,Paridae,Poecile,hudsonicus,,,BOCH
3710,Boreal Owl,Nyctale de Tengmalm,Aegolius funereus,Strigiformes,Strigidae,Aegolius,funereus,,,BOOW
5100,Brewer's Blackbird,Quiscale de Brewer,Euphagus cyanocephalus,Passeriformes,Icteridae,Euphagus,cyanocephalus,,,BRBL
5620,Brewer's Sparrow,Bruant de Brewer,Spizella breweri,Passeriformes,Passerellidae,Spizella,breweri,,,BRSP
6412,Brewster's Warbler (Golden-winged x Blue-winged),Paruline de Brewster,Vermivora cyanoptera x chrysoptera,Passeriformes,Parulidae,Vermivora,cyanoptera x chrysoptera,,,BRWA
2680,Bristle-thighed Curlew,Courlis d'Alaska,Numenius tahitiensis,Charadriiformes,Scolopacidae,Numenius,tahitiensis,,,BTCU
4320,Broad-tailed Hummingbird,Colibri à queue large,Selasphorus platycercus,Apodiformes,Trochilidae,Selasphorus,platycercus,,,BTAH
3430,Broad-winged Hawk,Petite Buse,Buteo platypterus,Accipitriformes,Accipitridae,Buteo,platypterus,,,BWHA
7260,Brown Creeper,Grimpereau brun,Certhia americana,Passeriformes,Certhiidae,Certhia,americana,,,BRCR
7050,Brown Thrasher,Moqueur roux,Toxostoma rufum,Passeriformes,Mimidae,Toxostoma,rufum,,,BRTH
4950,Brown-headed Cowbird,Vacher à tête brune,Molothrus ater,Passeriformes,Icteridae,Molothrus,ater,,,BHCO
7290,Brown-headed Nuthatch,Sittelle à tête brune,Sitta pusilla,Passeriformes,Sittidae,Sitta,pusilla,,,BHNU
1530,Bufflehead,Petit Garrot,Bucephala albeola,Anseriformes,Anatidae,Bucephala,albeola,,,BUFF
5080,Bullock's Oriole,Oriole de Bullock,Icterus bullockii,Passeriformes,Icteridae,Icterus,bullockii,,,BUOR
3780,Burrowing Owl,Chevêche des terriers,Athene cunicularia,Strigiformes,Strigidae,Athene,cunicularia,,,BUOW
7430,Bushtit,Mésange buissonnière,Psaltriparus minimus,Passeriformes,Aegithalidae,Psaltriparus,minimus,,,BUSH
1725,Cackling Goose,Bernache de Hutchins,Branta hutchinsii,Anseriformes,Anatidae,Branta,hutchinsii,,,CACG
530,California Gull,Goéland de Californie,Larus californicus,Charadriiformes,Laridae,Larus,californicus,,,CAGU
2940,California Quail,Colin de Californie,Callipepla californica,Galliformes,Odontophoridae,Callipepla,californica,,,CAQU
4812,California Scrub-Jay,Geai buissonnier,Aphelocoma californica,Passeriformes,Corvidae,Aphelocoma,californica,,,CASJ
4360,Calliope Hummingbird,Colibri calliope,Selasphorus calliope,Apodiformes,Trochilidae,Selasphorus,calliope,,,CAHU
1720,Canada Goose,Bernache du Canada,Branta canadensis,Anseriformes,Anatidae,Branta,canadensis,,,CANG
4840,Canada Jay,Mésangeai du Canada,Perisoreus canadensis,Passeriformes,Corvidae,Perisoreus,canadensis,,,CAJA
6860,Canada Warbler,Paruline du Canada,Cardellina canadensis,Passeriformes,Parulidae,Cardellina,canadensis,,,CAWA
1470,Canvasback,Fuligule à dos blanc,Aythya valisineria,Anseriformes,Anatidae,Aythya,valisineria,,,CANV
7170,Canyon Wren,Troglodyte des canyons,Catherpes mexicanus,Passeriformes,Troglodytidae,Catherpes,mexicanus,,,CANW
6500,Cape May Warbler,Paruline tigrée,Setophaga tigrina,Passeriformes,Parulidae,Setophaga,tigrina,,,CMWA
7360,Carolina Chickadee,Mésange de Caroline,Poecile carolinensis,Passeriformes,Paridae,Poecile,carolinensis,,,CACH
7180,Carolina Wren,Troglodyte de Caroline,Thryothorus ludovicianus,Passeriformes,Troglodytidae,Thryothorus,ludovicianus,,,CARW
640,Caspian Tern,Sterne caspienne,Hydroprogne caspia,Charadriiformes,Laridae,Hydroprogne,caspia,,,CATE
5180,Cassin's Finch,Roselin de Cassin,Haemorhous cassinii,Passeriformes,Fringillidae,Haemorhous,cassinii,,,CAFI
6291,Cassin's Vireo,Viréo de Cassin,Vireo cassinii,Passeriformes,Vireonidae,Vireo,cassinii,,,CAVI
2001,Cattle Egret,Héron garde-boeufs,Bubulcus ibis,Pelecaniformes,Ardeidae,Bubulcus,ibis,,,CAEG
6190,Cedar Waxwing,Jaseur d'Amérique,Bombycilla cedrorum,Passeriformes,Bombycillidae,Bombycilla,cedrorum,,,CEDW
